sentence,inference,label
"Su actividad mental es continua, apasionada, versátil y del todo insignificante. Abunda en inservibles analogías y en ociosos escrúpulos. Tiene (como Beatriz) grandes y afiladas manos hermosas.",Carlos disfrutaba analizar detalles innecesarios como una distracción.,1
"Durante algunos meses padeció la obsesión de Paul Fort, menos por sus baladas que por la idea de una gloria intachable. ""Es el Príncipe de los poetas de Francia"", repetía con fatuidad.",La obsesión por Paul Fort es como la de otros escritores que admiran y buscan imitar a figuras literarias prestigiosas.,0
"""En vano te revolverás contra él; no lo alcanzará, no, la más inficionada de tus saetas."" El treinta de abril de 1941 me permití agregar al alfajor una botella de coñac del país. Carlos Argentino lo probó, lo juzgó interesante y emprendió, al cabo de unas copas, una vindicación del hombre moderno.",Compartir el coñac genera confianza y allana el camino para una conversación más abierta e intensa.,1
"-Lo evoco -dijo con una animación algo inexplicable- en su gabinete de estudio, como si dijéramos en la torre albarrana de una ciudad, provisto de teléfonos, de telégrafos, de fonógrafos, de aparatos de radiotelefonía, de cinematógrafos, de linternas mágicas, de glosarios, de horarios, de prontuarios, de boletines...","-Lo recuerdo -dijo con una energía inexplicable- en su estudio, como si fuera una torre, rodeado de teléfonos, telégrafos, fonógrafos, radios, proyectores, linternas mágicas, diccionarios, horarios, guías y boletines...",3
"Observó que para un hombre así facultado el acto de viajar era inútil; nuestro siglo XX había transformado la fábula de Mahoma y de la montaña; las montañas, ahora, convergían sobre el moderno Mahoma.","Señaló que para alguien con esas capacidades, viajar no era necesario. En el siglo XX, la historia de Mahoma y la montaña se había invertido: ahora las montañas iban hacia Mahoma.",3
"Tan ineptas me parecieron esas ideas, tan pomposa y tan vasta su exposición, que las relacioné inmediatamente con la literatura; le dije que por qué no las escribía.",Me parecieron ideas tan absurdas y su explicación tan exagerada que las asocié de inmediato con la literatura. Le pregunté por qué no las escribía.,3
"Previsiblemente respondió que ya lo había hecho: esos conceptos, y otros no menos novedosos, figuraban en el Canto Augural, Canto Prologal o simplemente Canto-Prólogo de un poema en el que trabajaba hacía muchos años, sinréclame, sin bullanga ensordecedora, siempre apoyado en esos dos báculos que se llaman el trabajo y la soledad.","Su manera de trabajar en el poema sin buscar reconocimiento se asemeja a la de autores que crean en aislamiento, dedicándose solo a su obra.",0
"Primero, abría las compuertas a la imaginación; luego, hacía uso de la lima.",Seguramente continuará perfeccionando sus ideas con dedicación y método.,2
"El poema se titulaba La Tierra; tratábase de una descripción del planeta, en la que no faltaban, por cierto, la pintoresca digresión y el gallardo apóstrofe**. Le rogué que me leyera un pasaje, aunque fuera breve.",Probablemente accedió y compartió un fragmento de su trabajo.,2
"Abrió un cajón del escritorio, sacó un alto legajo de hojas de block estampadas con el membrete de la Biblioteca Juan Crisóstomo Lafinur y leyó con sonora satisfacción:
 He visto, como el griego, las urbes de los hombres,  los trabajos, los días de varia luz, el hambre;  no corrijo los hechos, no falseo los nombres, pero el voyage que narro, es... autour de ma chambre.
-Estrofa a todas luces interesante -dictaminó-.","¡Me recuerda al poema 'Itaca' de Kavafis, con esa idea de viajes y aprendizajes!",0
"El primer verso granjea el aplauso del catedrático, del académico, del helenista, cuando no de los eruditos a la violeta, sector considerable de la opinión; el segundo pasa de Homero a Hesíodo (todo un implícito homenaje, en el frontis del flamante edificio, al padre de la poesía didáctica), no sin remozar un procedimiento cuyo abolengo está en la Escritura, la enumeración, congerie o conglobación; el tercero -¿barroquismo, decadentismo; culto depurado y fanático de la forma?- consta de dos hemistiquios gemelos; el cuarto, francamente bilingüe, me asegura el apoyo incondicional de todo espíritu sensible a los desenfadados envites de la facecia.",La estructura del poema y sus referencias literarias recuerdan la poesía que busca impresionar a círculos intelectuales.,0
"Nada diré de la rima rara ni de la ilustración que me permite, ¡sin pedantismo!, acumular en cuatro versos tres alusiones eruditas que abarcan treinta siglos de apretada literatura: la primera a la Odisea, la segunda a los Trabajos y días, la tercera a la bagatela inmortal que nos depararan los ocios de la pluma del saboyano...",Acumular alusiones a tres épocas literarias muestra un esfuerzo deliberado por conectar el poema con la tradición universal.,1
"Comprendo una vez más que el arte moderno exige el bálsamo de la risa, elscherzo. ¡Decididamente, tiene la palabra Goldoni!","La risa será una constante en el arte moderno, marcando una tendencia de aceptación generalizada de lo cómico.",2
Otras muchas estrofas me leyó que también obtuvieron su aprobación y su comentario profuso. Nada memorable había en ellas; ni siquiera las juzgué mucho peores que la anterior.,Me leyeron más estrofas que también recibieron su aprobación y comentarios extensos. No había nada extraordinario en ellas; ni siquiera me parecieron mucho peores que la anterior.,3
"En su escritura habían colaborado la aplicación, la resignación y el azar; las virtudes que Daneri les atribuía eran posteriores.","La colaboración entre la aplicación, la resignación y el azar puede relacionarse con la idea de que el arte es resultado de múltiples factores, no solo del talento.",0
"Comprendí que el trabajo del poeta no estaba en la poesía; estaba en la invención de razones para que la poesía fuera admirable; naturalmente, ese ulterior trabajo modificaba la obra para él, pero no para otros.","La poesía no solo está en los versos, sino en la capacidad de darle sentido y hacer que otros la valoren.",1
"La dicción oral de Daneri era extravagante; su torpeza métrica le vedó, salvo contadas veces, trasmitir esa extravagancia al poema.","La forma de hablar de Daneri era peculiar; su torpeza con la métrica evitó que, salvo en raras ocasiones, esa excentricidad se reflejara en su poema.",3
"Una sola vez en mi vida he tenido ocasión de examinar los quince mil dodecasílabos del Polyolbion, esa epopeya topográfica en la que Michael Drayton registró la fauna, la flora, la hidrografía, la orografía, la historia militar y monástica de Inglaterra; estoy seguro de que ese producto considerable, pero limitado, es menos tedioso que la vasta empresa congénere de Carlos Argentino.","El Polyolbion de Drayton podría traer a la mente otras obras exhaustivas, como enciclopedias renacentistas.",0
"Éste se proponía versificar toda la redondez del planeta; en 1941 ya había despachado unas hectáreas del estado de Queensland, más de un kilómetro del curso del Ob, un gasómetro al norte de Veracruz, las principales casas de comercio de la parroquia de la Concepción, la quinta de Mariana Cambaceres de Alvear en la calle Once de Septiembre, en Belgrano, y un establecimiento de baños turcos no lejos del acreditado acuario de Brighton.","Si Daneri ya ha versificado estas áreas en 1941, es probable que intente expandir su obra hacia regiones aún más remotas o insólitas, siguiendo su ambición de abarcar toda la redondez del planeta.",2
Me leyó ciertos laboriosos pasajes de la zona australiana de su poema; esos largos e informes alejandrinos carecían de la relativa agitación del prefacio.,"Si los pasajes carecen de la relativa agitación del prefacio, es probable que el resto del poema siga siendo monótono.",2
"Copio una estrofa: 
Sepan. A manderecha del poste rutinario  (viniendo, claro está, desde el Nornoroeste)  se aburre una osamenta -¿Color? Blanquiceleste- que da al corral de ovejas catadura de osario.",El color 'blanquiceleste' hace pensar en la bandera argentina y su simbolismo.,0
"-Dos audacias -gritó con exultación-, rescatadas, te oigo mascullar, por el éxito. Lo admito, lo admito.",La exultación de Daneri al admitir su éxito parece mostrar una mezcla de vanidad y alivio frente a las críticas.,1
"Una, el epíteto rutinario, que certeramente denuncia, en passant, el inevitable tedio inherente a las faenas pastoriles y agrícolas, tedio que ni las geórgicas ni nuestro ya laureado Don Segundo se atrevieron jamás a denunciar así, al rojo vivo.","Un epíteto convencional destaca, de manera precisa, el tedio inevitable de las labores rurales, un tedio que ni Virgilio ni Don Segundo se atrevieron a señalar con tanta claridad.",3
"Otra, el enérgico prosaísmo se aburre una osamenta, que el melindroso querrá excomulgar con horror pero que apreciará más que su vida el crítico de gusto viril.",El crítico de gusto viril probablemente elogiará la frase 'se aburre una osamenta' por su simplicidad cruda.,2
"Todo el verso, por lo demás, es de muy subidos quilates.",Calificar el verso como 'de muy subidos quilates' revela una hipérbole propia del autor para resaltar su obra frente a posibles detractores.,1
"El segundo hemistiquio entabla animadísima charla con el lector; se adelanta a su viva curiosidad, le pone una pregunta en la boca y la satisface... al instante.","La segunda parte del verso dialoga con el lector; se adelanta a su curiosidad, le plantea una pregunta y la responde de inmediato.",3
"¿Y qué me dices de ese hallazgo, blanquiceleste? El pintoresco neologismo sugiere el cielo, que es un factor importantísimo del paisaje australiano.","¿Y qué opinas de ""blanquiceleste""? Este término novedoso evoca el cielo, un elemento fundamental del paisaje australiano.",3
"Sin esa evocación resultarían demasiado sombrías las tintas del boceto y el lector se vería compelido a cerrar el volumen, herida en lo más íntimo el alma de incurable y negra melancolía. Hacia la medianoche me despedí. Dos domingos después, Daneri me llamó por teléfono, entiendo que por primera vez en la vida.","La evocación del cielo en el paisaje australiano sirve para suavizar el tono sombrío del poema, reforzando su efecto emocional.",1
"Me propuso que nos reuniéramos a las cuatro, ""para tomar juntos la leche, en el contiguo salón-bar que el progresismo de Zunino y de Zungri -los propietarios de mi casa, recordarás- inaugura en la esquina; confitería que te importará conocer"".",Mencionar la confitería como un sitio importante se parece a cuando las personas destacan lugares nuevos como señales de progreso.,0
"Acepté, con más resignación que entusiasmo.",El encuentro no será particularmente agradable o productivo.,2
"Nos fue difícil encontrar mesa; el ""salón-bar"", inexorablemente moderno, era apenas un poco menos atroz que mis previsiones; en las mesas vecinas, el excitado público mencionaba las sumas invertidas sin regatear por Zunino y por Zungri.",El público excitado en el salón-bar refleja cómo la inversión económica de Zunino y Zungri se convierte en un tema de conversación que valida su modernidad.,1
"Carlos Argentino fingió asombrarse de no sé qué primores de la instalación de la luz (que, sin duda, ya conocía) y me dijo con cierta severidad: -Mal de tu grado habrás de reconocer que este local se parangona con los más encopetados de Flores.",Comparar el local con otros más exclusivos es similar a la manera en que algunos usan referencias prestigiosas para dar importancia a un sitio.,0
"Me releyó, después, cuatro o cinco páginas del poema. Las había corregido según un depravado principio de ostentación verbal: donde antes escribió azulado, ahora abundaba en azulino, azulenco y hasta azulillo.","Si Daneri sigue alterando las palabras con variantes innecesarias, su poema podría terminar siendo aún más ininteligible y caótico.",2
"La palabra lechoso no era bastante fea para él; en la impetuosa descripción de un lavadero de lanas, prefería lactario, lacticinoso, lactescente, lechal...","El uso de términos como 'lactescente' y 'lechal' revela la obsesión de Daneri por embellecer incluso lo más mundano, como un lavadero de lanas.",1
"Denostó con amargura a los críticos; luego, más benigno, los equiparó a esas personas, ""que no disponen de metales preciosos ni tampoco de prensas de vapor, laminadores y ácidos sulfúricos para la acuñación de tesoros, pero que pueden indicar a los otros el sitio de un tesoro"".",La idea de que los críticos indican dónde hay valor sin crearlo se parece a la de exploradores que descubren tesoros sin poseerlos.,0
"Acto continuo censuró la prologomanía, ""de la que ya hizo mofa, en la donosa prefación del Quijote, el Príncipe de los Ingenios"".","De inmediato criticó la obsesión por los prólogos, algo que ya había ridiculizado Cervantes en la ingeniosa introducción del Quijote.",3
"Admitió, sin embargo, que en la portada de la nueva obra convenía el prólogo vistoso, el espaldarazo firmado por el plumífero de garra, de fuste. Agregó que pensaba publicar los cantos iniciales de su poema.",La insistencia en un prólogo vistoso indica que Daneri busca legitimidad externa para compensar las debilidades internas de su poema.,1
"Comprendí, entonces, la singular invitación telefónica; el hombre iba a pedirme que prologara su pedantesco fárrago.",Entonces entendí la peculiar invitación por teléfono: el hombre quería pedirme que escribiera el prólogo de su obra pedante y desordenada.,3
"Mi temor resultó infundado: Carlos Argentino observó, con admiración rencorosa, que no creía errar en el epíteto al calificar de sólido el prestigio logrado en todos los círculos por Álvaro Melián Lafinur, hombre de letras, que, si yo me empeñaba, prologaría con embeleso el poema.","Mi miedo fue injustificado: Carlos Argentino comentó, con una mezcla de admiración y resentimiento, que Álvaro Melián Lafinur, un escritor muy reconocido, podría hacer el prólogo con entusiasmo si yo no quería hacerlo.",3
"Para evitar el más imperdonable de los fracasos, yo tenía que hacerme portavoz de dos méritos inconcusos: la perfección formal y el rigor científico, ""porque ese dilatado jardín de tropos, de figuras, de galanuras, no tolera un solo detalle que no confirme la severa verdad"". Agregó que Beatriz siempre se había distraído con Álvaro. Asentí, profusamente asentí.",La mención de la 'severa verdad' en el poema puede asociarse con el contraste entre la poesía y la ciencia como mundos paralelos que buscan exactitud.,0
"Aclaré, para mayor verosimilitud, que no hablaría el lunes con Álvaro, sino el jueves: en la pequeña cena que suele coronar toda reunión del Club de Escritores.(No hay tales cenas, pero es irrefutable que las reuniones tienen lugar los jueves, hecho que Carlos Argentino Daneri podía comprobar en los diarios y que dotaba de cierta realidad a la frase.) Dije, entre adivinatorio y sagaz, que antes de abordar el tema del prólogo, describiría el curioso plan de la obra.","Al indicar que hablaría el jueves y no el lunes, el narrador anticipa que su estrategia de mencionar el plan de la obra primero podría influir en la percepción de Daneri sobre su compromiso.",2
"Nos despedimos; al doblar por Bernardo de Irigoyen, encaré con toda imparcialidad los porvenires que me quedaban: a) hablar con Álvaro y decirle que el primo hermano aquel de Beatriz (ese eufemismo explicativo me permitiría nombrarla) había elaborado un poema que parecía dilatar hasta lo infinito las posibilidades de la cacofonía y del caos; b) no hablar con Álvaro. Preví, lúcidamente, que mi desidia optaría por b.",El narrador optará por no hablar con Álvaro y que su apatía prevalecerá sobre cualquier sentido del deber.,2
"A partir del viernes a primera hora, empezó a inquietarme el teléfono. Me indignaba que ese instrumento, que algún día produjo la irrecuperable voz de Beatriz, pudiera rebajarse a receptáculo de las inútiles y quizá coléricas quejas de ese engañado Carlos Argentino Daneri.",La indignación hacia el teléfono refleja cómo los objetos cotidianos adquieren significados emocionales profundos tras una pérdida.,1
"Felizmente, nada ocurrió -salvo el rencor inevitable que me inspiró aquel hombre que me había impuesto una delicada gestión y luego me olvidaba.",El rencor hacia Daneri podría intensificarse si éste continúa ignorando la delicada gestión que impuso al narrador.,2
"El teléfono perdió sus terrores, pero a fines de octubre, Carlos Argentino me habló. Estaba agitadísimo; no identifiqué su voz, al principio.","Carlos Argentino está tan alterado que su voz suena irreconocible, lo que sugiere que algo serio le ocurre.",1
"Con tristeza y con ira balbuceó que esos ya ilimitados Zunino y Zungri, so pretexto de ampliar su desaforada confitería, iban a demoler su casa. -¡La casa de mis padres, mi casa, la vieja casa inveterada de la calle Garay! repitió, quizá olvidando su pesar en la melodía. No me resultó muy difícil compartir su congoja.",La demolición de la casa como parte de la expansión comercial es similar a cómo muchas construcciones antiguas desaparecen para dar paso a proyectos modernos.,0
"Ya cumplidos los cuarenta años, todo cambio es un símbolo detestable del pasaje del tiempo; además, se trataba de una casa que, para mí, aludía infinitamente a Beatriz. Quise aclarar ese delicadísimo rasgo; mi interlocutor no me oyó.","Pasados los cuarenta, cualquier cambio es un recordatorio molesto del paso del tiempo. Además, esa casa me recordaba sin cesar a Beatriz. Intenté explicar esa sensación, pero mi interlocutor no me escuchó.",3
"Dijo que si Zunino y Zungri persistían en ese propósito absurdo, el doctor Zunni, su abogado, los demandaríaipso facto por daños y perjuicios y los obligaría a abonar cien mil nacionales.","Si el abogado Zunni realmente toma el caso, es probable que el conflicto entre Daneri y los propietarios de la confitería escale rápidamente.",2
"El nombre de Zunni me impresionó; su bufete, en Caseros y Tacuarí, es de una seriedad proverbial. Interrogué si éste se había encargado ya del asunto. Daneri dijo que le hablaría esa misma tarde.",El nombre de Zunni me impactó; su oficina en Caseros y Tacuarí era muy respetada. Pregunté si él ya estaba a cargo del asunto. Daneri respondió que lo contactaría esa tarde.,3
"Vaciló y con esa voz llana, impersonal, a que solemos recurrir para confiar algo muy íntimo, dijo que para terminar el poema le era indispensable la casa, pues en un ángulo del sótano había un Aleph.",La necesidad de un espacio específico para la creación de una obra se parece a la manera en que algunos escritores o artistas encuentran inspiración en lugares concretos.,0
Aclaró que un Aleph es uno de los puntos del espacio que contienen todos los puntos.,"El Aleph es descrito como un fenómeno que desafía la comprensión humana, permitiendo vislumbrar la totalidad del espacio.",1
"-Está en el sótano del comedor -explicó, aligerada su dicción por la angustia-. Es mío, es mío: yo lo descubrí en la niñez, antes de la edad escolar.","-Está en el sótano del comedor -dijo con voz agitada por la angustia-. Es mío, es mío: lo descubrí en mi infancia, antes de empezar la escuela.",3
"La escalera del sótano es empinada, mis tíos me tenían prohibido el descenso, pero alguien dijo que había un mundo en el sótano. Se refería, lo supe después, a un baúl, pero yo entendí que había un mundo.","La mención de un ""mundo en el sótano"" evoca recuerdos de exploraciones infantiles y secretos escondidos.",0
"Bajé secretamente, rodé por la escalera vedada, caí. Al abrir los ojos, vi el Aleph. -¿El Aleph? -repetí. -Sí, el lugar donde están, sin confundirse, todos los lugares del orbe, vistos desde todos los ángulos.","La visión del Aleph lo abrumará con una cantidad infinita de información, lo que podría generar una reacción de asombro o incluso confusión.",2
"A nadie revelé mi descubrimiento, pero volví. ¡El niño no podía comprender que le fuera deparado ese privilegio para que el hombre burilara el poema!",El descubrimiento del Aleph en la infancia se resignifica como una inspiración divina para la creación literaria.,1
"No me despojarán Zunino y Zungri, no y mil veces no. Código en mano, el doctor Zunni probará que es inajenable mi Aleph. Traté de razonar. -Pero, ¿no es muy oscuro el sótano? -La verdad no penetra en un entendimiento rebelde",Carlos confía en que el doctor Zunni demostrará legalmente que el Aleph no puede ser retirado de su posesión.,2
"Si todos los lugares de la tierra están en el Aleph, ahí estarán todas las luminarias, todas las lámparas, todos los veneros de luz. -Iré a verlo inmediatamente. Corté, antes de que pudiera emitir una prohibición.","Si el Aleph contiene todos los lugares del mundo, su observación debería ser una revelación visual deslumbrante.",1
"Basta el conocimiento de un hecho para percibir en el acto una serie de rasgos confirmatorios, antes insospechados; me asombró no haber comprendido hasta ese momento que Carlos Argentino era un loco.",El comportamiento de Carlos es relacionado con características comunes de las personas obsesivas o delirantes.,0
"Beatriz (yo mismo suelo repetirlo) era una mujer, una niña de una clarividencia casi implacable, pero había en ella negligencias, distracciones, desdenes, verdaderas crueldades, que tal vez reclamaban una explicación patológica.","Beatriz es asociada con la figura de una musa inalcanzable, que inspira al narrador con su complejidad emocional.",0
"La locura de Carlos Argentino me colmó de maligna felicidad; íntimamente, siempre nos habíamos detestado.","La locura de Carlos Argentino me llenó de una alegría cruel; en el fondo, siempre nos habíamos despreciado mutuamente.",3
"En la calle Garay, la sirvienta me dijo que tuviera la bondad de esperar. El niño estaba, como siempre, en el sótano, revelando fotografías.","En la calle Garay, la sirvienta me pidió que esperara. Como de costumbre, el niño estaba en el sótano revelando fotos.",3
"Junto al jarrón sin una flor, en el piano inútil, sonreía (más intemporal que anacrónico) el gran retrato de Beatriz, en torpes colores.","Junto al jarrón sin flores y el piano en desuso, sonreía el gran retrato de Beatriz, en colores torpemente aplicados, pareciendo más fuera del tiempo que anticuado.",3
"No podía vernos nadie; en una desesperación de ternura me aproximé al retrato y le dije: -Beatriz, Beatriz Elena, Beatriz Elena Viterbo, Beatriz querida, Beatriz perdida para siempre, soy yo, soy Borges.","La conexión emocional entre el narrador y Beatriz perdura a través del tiempo, encapsulada en su retrato.",1
"Carlos entró poco después. Habló con sequedad; comprendí que no era capaz de otro pensamiento que de la perdición del Aleph. -Una copita del seudo coñac -ordenó- y te zampuzarás en el sótano. Ya sabes, el decúbito dorsal es indispensable. También lo son la oscuridad, la inmovilidad, cierta acomodación ocular.",Las instrucciones específicas de Carlos se asocian con rituales necesarios para alcanzar una experiencia trascendental.,0
"Te acuestas en el piso de baldosas y fijas los ojos en el decimonono escalón de la pertinente escalera. Me voy, bajo la trampa y te quedas solo. Algún roedor te mete miedo ¡fácil empresa! A los pocos minutos ves el Aleph.¡El microcosmo de alquimistas y cabalistas, nuestro concreto amigo proverbial, el multum in parvo!","Al cumplir con las instrucciones de Carlos, finalmente experimentará la visión del Aleph.",2
"Ya en el comedor, agregó: -Claro está que si no lo ves, tu incapacidad no invalida mi testimonio... Baja; muy en breve podrás entablar un diálogo con todas las imágenes de Beatriz.","Ya en el comedor, añadió: -Si no lo ves, tu incapacidad no cambia el hecho de que está ahí... Baja; dentro de poco podrás ver todas las imágenes de Beatriz y hablar con ellas.",3
"Bajé con rapidez, harto de sus palabras insustanciales. El sótano, apenas más ancho que la escalera, tenía mucho de pozo. Con la mirada, busqué en vano el baúl de que Carlos Argentino me habló. Unos cajones con botellas y unas bolsas de lona entorpecían un ángulo.",La búsqueda del baúl en el sótano se asocia con el deseo de encontrar un tesoro oculto o una verdad reveladora.,0
"Carlos tomó una bolsa, la dobló y la acomodó en un sitio preciso. -La almohada es humildosa -explicó-, pero si la levanto un solo centímetro, no verás ni una 
pizca y te quedas corrido y avergonzado. Repantiga en el suelo ese corpachón y cuenta diecinueve escalones. Cumplí con sus ridículos requisitos; al fin se fue.","Carlos considera crucial que la posición de la ""almohada"" influya en la capacidad de ver el Aleph.",1
"Cerró cautelosamente la trampa; la oscuridad, pese a una hendija que después distinguí, pudo parecerme total. Súbitamente comprendí mi peligro: me había dejado soterrar por un loco, luego de tomar un veneno.","El protagonista intentará escapar desesperadamente, pero su estado físico podría impedírselo.",2
"Las bravatas de Carlos transparentaban el íntimo terror de que yo no viera el prodigio; Carlos, para defender su delirio, para no saber que estaba loco, tenía que matarme.","Carlos, en su paranoia, tomará medidas extremas para asegurarse de que el narrador no revele la verdad.",2
"Sentí un confuso malestar, que traté de atribuir a la rigidez, y no a la operación de un narcótico. Cerré los ojos, los abrí. Entonces vi el Aleph.",El narrador concluye que el malestar experimentado antes de ver el Aleph podría deberse a factores externos y no a la rigidez o un narcótico.,1
"Arribo, ahora, al inefable centro de mi relato; empieza, aquí, mi desesperación de escritor. Todo lenguaje es un alfabeto de símbolos cuyo ejercicio presupone un pasado que los interlocutores comparten; ¿cómo transmitir a los otros el infinito Aleph, que mi temerosa memoria apenas abarca?","Ahora llego al punto crucial de mi historia, donde comienza mi desesperación como escritor. Todo lenguaje es un conjunto de símbolos que solo tienen sentido si los interlocutores comparten un pasado; ¿cómo puedo transmitir el infinito Aleph si mi memoria apenas lo abarca?",3
"Los místicos, en análogo trance, prodigan los emblemas: para significar la divinidad, un persa habla de un pájaro que de algún modo es todos los pájaros; Alanus de Insulis, de una esfera cuyo centro está en todas partes y la circunferencia en ninguna; Ezequiel, de un ángel de cuatro caras que a un tiempo se dirige al Oriente y al Occidente, al Norte y al Sur.",Las imágenes de los místicos recuerdan cómo las culturas intentan comprender lo incomprensible a través de símbolos.,0
"(No en vano rememoro esas inconcebibles analogías; alguna relación tienen con el Aleph.) Quizá los dioses no me negarían el hallazgo de una imagen equivalente, pero este informe quedaría contaminado de literatura, de falsedad. Por lo demás, el problema central es irresoluble: la enumeración, siquiera parcial, de un conjunto infinito.","El narrador enfrentará la imposibilidad de describir completamente el Aleph, lo que lo frustrará.",2
"En ese instante gigantesco, he visto millones de actos deleitables o atroces; ninguno me asombró como el hecho de que todos ocuparan el mismo punto, sin superposición y sin transparencia.",La percepción de actos deleitables y atroces en el Aleph refleja una visión de la humanidad que engloba sus extremos morales.,1
"Lo que vieron mis ojos fue simultáneo: lo que transcribiré, sucesivo, porque el lenguaje lo es. Algo, sin embargo, recogeré.",Su intento de transcribir la experiencia del Aleph resultará incompleto o distorsionado por las limitaciones del lenguaje.,2
"En la parte inferior del escalón, hacia la derecha, vi una pequeña esfera tornasolada, de casi intolerable fulgor. Al principio la creí giratoria; luego comprendí que ese movimiento era una ilusión producida por los vertiginosos espectáculos que encerraba.",La esfera tornasolada evoca la idea de un caleidoscopio que encapsula la belleza y complejidad del universo.,0
"El diámetro del Aleph sería de dos o tres centímetros, pero el espacio cósmico estaba ahí, sin disminución de tamaño. Cada cosa (la luna del espejo, digamos) era infinitas cosas, porque yo claramente la veía desde todos los puntos del universo.",El narrador analiza cómo en el Aleph cada objeto es infinito debido a que puede ser visto desde múltiples perspectivas simultáneamente.,1
"Vi el populoso mar, vi el alba y la tarde, vi las muchedumbres de América, vi una plateada telaraña en el centro de una negra pirámide, vi un laberinto roto (era Londres), vi interminables ojos inmediatos escrutándose  en mí como en un espejo, vi todos los espejos del planeta y ninguno me reflejó, vi en un traspatio de la calle Soler las mismas baldosas que hace treinta años vi en el zaguán de una casa en Fray Bentos, vi racimos, nieve, tabaco, vetas de metal, vapor de agua, vi convexos desiertos ecuatoriales y cada uno de sus granos de arena, vi en Inverness a una mujer que no olvidaré, vi la violenta cabellera, el altivo cuerpo, vi un cáncer en el pecho, vi un círculo de tierra seca en una vereda, donde antes hubo un árbol, vi una quinta de Adrogué, un ejemplar de la primera versión inglesa de Plinio, la de Philemon Holland, vi a un tiempo cada letra de cada página (de chico, yo solía maravillarme de que las letras de un volumen cerrado no se mezclaran y perdieran en el decurso de la noche).","La visión del laberinto roto recuerda las calles de Londres, simbolizando la fragmentación y el caos urbano.",0
